,image,MSE,PSNR,SSIM
374,he94077,494.2961018880208,21.24438950408248,0.45177415
375,he94078,378.6794840494792,22.397764949109167,0.4226613
376,he94100,437.937744140625,21.554242772929406,0.4669979
377,he94101,601.3374837239584,20.171872809565695,0.49262926
378,he94102,500.6249186197917,21.310602887635703,0.5202605
379,he94103,537.7435709635416,20.924346571710263,0.4087728
380,he94104,435.33642578125,21.794624733648202,0.44905278
381,he94105,214.1946818033854,24.901976616004244,0.4859334
382,he94106,237.79437255859375,24.231159529049933,0.56316996
383,he94127,584.70654296875,20.27497694404573,0.49065197
384,he94128,548.4458821614584,20.71140418773325,0.43668827
385,he94129,544.6827799479166,20.85679753928785,0.46208766
386,he94130,468.9218343098958,21.34006491146124,0.45363817
387,he94132,204.90498860677084,24.812283839941767,0.4151334
388,he94133,126.96140543619792,26.88339496112181,0.535729
389,he94134,222.76692708333334,24.437222203161543,0.5911355
390,he94155,651.1968994140625,20.01850208606377,0.4816579
391,he94156,721.6454264322916,19.48150978487858,0.4534308
392,he94157,499.7023518880208,21.152546424671492,0.47589803
393,he94158,358.3998616536458,22.396056773893086,0.48695683
394,he94159,305.4883219401042,23.01317604146908,0.48768267
395,he94160,244.98140462239584,24.297699937370652,0.5073983
396,he94183,315.679443359375,23.254721032719623,0.4340856
397,he94184,412.751953125,21.950011911273236,0.4658868
398,he94185,340.1041666666667,22.684739854876543,0.47271636
399,he94186,278.9309895833333,23.60959529106261,0.47337234
400,he94187,303.8265787760417,23.28845838513037,0.44668433
401,he94188,150.1965128580729,26.486701824394938,0.37536526
402,he94210,112.74026489257812,27.607313024673626,0.61776334
403,he94211,150.10868326822916,26.442180796101127,0.5957077
404,he94214,289.9527994791667,23.556389661085607,0.49199042
405,he94215,224.6779581705729,24.56016474873486,0.42348638
406,he94216,243.4892578125,24.05504619467653,0.6029083
407,he94235,344.9419759114583,22.549348113917432,0.59596306
408,he94236,183.55875651041666,25.305508741615146,0.63383865
409,he94237,173.6733601888021,25.48319841917866,0.591217
410,he94238,84.59621175130208,28.994909081392905,0.65388256
411,he94239,96.8378194173177,28.275584835661792,0.6608549
412,he94240,114.83575439453125,27.4972146912345,0.5807485
413,he94241,259.0330810546875,23.954504133578585,0.52165955
414,he94242,277.148681640625,23.78830147778921,0.5268938
415,he94264,56.445343017578125,31.04010279085061,0.69345635
416,he94265,98.29197184244792,28.495026973938614,0.5993684
417,he94266,100.04076131184895,27.824379836229628,0.61869544
418,he94268,59.52448527018229,31.15410392647922,0.6007397
419,he94269,175.34981282552084,25.63999360499063,0.6135697
420,he94270,275.8197835286458,23.439006540580326,0.5970058
421,he94292,81.90597025553386,29.00669290835806,0.5977371
422,he94293,74.78679911295573,29.14315202724317,0.6193962
423,he94294,99.29264322916667,28.111391412649734,0.5499447
424,he94295,139.78671264648438,26.36947222405661,0.5826934
425,he94296,137.63611857096353,26.493371906617806,0.61248344
426,he94318,65.38623555501302,30.653921169696503,0.7051018
427,he94319,209.0091552734375,24.679561871020553,0.49600187
428,he94320,94.755859375,28.25023119875546,0.52161115
429,he94321,117.98817952473958,27.35694960054242,0.5350009
430,he94322,110.5738525390625,27.384173623913085,0.56378883
431,he94323,68.69640096028645,30.026094663196776,0.63447946
432,he94345,145.04707845052084,26.73870376925281,0.60575193
433,he94346,140.7729695638021,26.65862117444953,0.6206162
434,he94347,152.99576822916666,26.322202663537855,0.4353452
435,he94349,77.5074462890625,29.14334445897132,0.47332525
436,he94350,208.04305013020834,24.89490692311195,0.57419723
437,he94368,802.0127766927084,18.702734334777347,0.5749585
438,he94373,126.35970052083333,27.148880205131682,0.6172721
439,he94374,134.86503092447916,27.26308424261745,0.5836486
440,he94375,85.24715677897136,28.821121644315188,0.59314615
441,he94376,57.27250671386719,30.856831304879663,0.54142743
442,he94399,237.9141845703125,24.430523465683113,0.5859549
443,he94400,687.02197265625,19.40974508156529,0.5591554
444,he94401,195.2330525716146,25.195842113737122,0.5771263
445,he94426,298.0745849609375,23.064230005318276,0.5613015
446,he94448,486.3534342447917,21.108002684974323,0.5090962
447,he94475,732.9545084635416,19.254969856198475,0.5738577
448,he94476,222.92439778645834,24.99445172917342,0.6079054
449,he94480,451.773193359375,21.45879071561118,0.56881905
450,he94503,679.0748697916666,19.472165505227842,0.58509135
451,he94504,163.8853963216146,26.084649756437358,0.6016267
452,he94505,159.59783935546875,26.93657000739712,0.59324193
453,he94528,234.90643310546875,24.290310111242807,0.54955965
454,he94529,407.4667561848958,22.138434000857753,0.5232071
455,he94531,243.67144775390625,24.076481395091555,0.5432845
