,image,MSE,PSNR,SSIM
387,he94132,167.14761352539062,25.699588981482368,0.42862988
388,he94133,108.94521077473958,27.55896720867249,0.556089
389,he94134,187.1925048828125,25.161606151500862,0.6171724
390,he94155,519.7909342447916,21.025253561400156,0.5239313
391,he94156,588.9668782552084,20.39814108190538,0.4829922
392,he94157,365.3732503255208,22.589460325005728,0.5331623
393,he94158,270.9079182942708,23.620765934978486,0.5281438
394,he94159,201.7949015299479,24.835764965528377,0.5482104
395,he94160,196.6016642252604,25.263019352895014,0.5394878
396,he94183,229.6871541341146,24.718066302985232,0.48927167
397,he94184,290.72886149088544,23.54797392704642,0.52490133
398,he94185,211.4371337890625,24.909329571714093,0.5523433
399,he94186,191.35430908203125,25.238632129712812,0.53998774
400,he94187,211.4251505533854,24.92235524478456,0.51113397
401,he94188,132.7429402669271,27.000341338264683,0.39046583
402,he94210,64.14875793457031,30.140749100217082,0.6637868
403,he94211,98.53330485026042,28.384271810737726,0.6419068
404,he94214,137.96390787760416,27.20153188747374,0.58684444
405,he94215,190.24735514322916,25.29359499071448,0.4440432
406,he94216,204.99092610677084,24.762446802647485,0.62310344
407,he94235,280.3094075520833,23.486368078264203,0.62921834
408,he94236,134.80119832356772,26.63546518408445,0.67213964
409,he94237,113.39451090494792,27.600471051819973,0.64502573
410,he94238,50.26427714029948,31.719464310959147,0.70154643
411,he94239,59.5717519124349,30.74345702709315,0.69667673
412,he94240,82.37818400065105,29.042590594518867,0.6043413
413,he94241,188.749755859375,25.386064080880505,0.55540913
414,he94242,209.7091064453125,25.019241964219376,0.56375897
415,he94264,38.89631144205729,32.59543537783644,0.71105367
416,he94265,65.93763732910156,30.291018604414415,0.6346796
417,he94266,46.70451863606771,31.291122114331294,0.6655894
418,he94268,49.91218566894531,31.976259257354393,0.6123076
419,he94269,128.44200642903647,27.137330739061714,0.6517002
420,he94270,226.05448404947916,24.338824348530792,0.62197477
421,he94292,73.03826904296875,29.42771465112066,0.60462517
422,he94293,53.496785481770836,30.716718357464355,0.6488753
423,he94294,79.13613382975261,29.15163715901464,0.5725296
424,he94295,97.80226643880208,27.91828143237136,0.6112632
425,he94296,93.04392496744792,28.205645493893144,0.6607905
426,he94318,48.83112589518229,32.27274400039931,0.7326436
427,he94319,186.95867919921875,25.17062771033924,0.504983
428,he94320,72.33145141601562,29.572798834390067,0.5458833
429,he94321,92.95461018880208,28.36668610692805,0.5593603
430,he94322,91.62784830729167,28.252236646953573,0.5805364
