,image,MSE,PSNR,SSIM
849,he98280,119.94652303059895,27.542402656922352,0.32802126
850,he98281,165.3647257486979,26.40368368232929,0.2728553
851,he98282,184.8803507486979,25.530850421910564,0.23822784
852,he98283,210.85994466145834,24.959871199157217,0.29953066
853,he98284,199.24029541015625,25.013211660727045,0.27486005
854,he98285,123.859130859375,27.453610049916808,0.29996976
855,he98286,165.2033894856771,26.013127657425663,0.27484798
856,he98287,294.72438557942706,23.809265657354164,0.468292
857,he9828,214.1081339518229,24.64328997364801,0.6522563
858,he9829,171.3595174153646,25.645042115624513,0.6911948
859,he98301,782.24951171875,19.292508019274457,0.6569955
860,he98302,625.9346110026041,20.206114224863537,0.6597838
861,he98303,488.1089274088542,21.312366125560015,0.671539
862,he98304,629.4954020182291,20.113385535640255,0.66435486
863,he98305,621.4344889322916,20.205524370187025,0.72053576
864,he98306,575.4307047526041,20.64393196159639,0.7287955
865,he98307,555.43310546875,20.8005716703088,0.7109051
866,he98308,531.3039957682291,20.92326742998874,0.6551924
867,he98309,482.7212320963542,21.362418785107643,0.6864782
868,he98310,600.4217936197916,20.232401619199113,0.6992183
869,he98311,505.2227376302083,21.20206478174922,0.7101977
870,he98312,348.9153238932292,22.746839840711015,0.7090613
871,he9831,84.56107076009114,29.464741054420433,0.7241338
872,he9832,208.51143391927084,25.19892330297621,0.6668703
873,he98330,417.09521484375,21.895517929984454,0.7344735
874,he98332,389.1084391276042,22.34028212141893,0.7182024
875,he98333,476.9502766927083,21.36636297826844,0.68041205
876,he98334,349.6524251302083,22.755649758069204,0.699008
877,he98335,478.5432942708333,21.372078839866823,0.6842486
878,he98336,344.209228515625,22.983095427059222,0.7343559
879,he98337,503.7067057291667,21.24701415157141,0.7057497
880,he9833,214.63116455078125,24.862873658324833,0.6680567
881,he98347,173.82771809895834,25.739069048609405,0.5783352
882,he98348,209.16131591796875,24.643883736059205,0.4433992
883,he98349,194.62872314453125,25.23682389465825,0.3463265
884,he9834,223.60042317708334,24.856783309798356,0.6743439
885,he98350,203.885986328125,25.1488900388691,0.31427965
886,he98351,218.78230794270834,24.55412004915801,0.30773792
887,he98352,147.20231119791666,26.36621955174349,0.35800174
888,he98353,199.84564208984375,25.120346268203644,0.29553154
889,he98354,256.9363199869792,24.329379605791157,0.36556163
890,he98368,505.4788411458333,21.242774665239956,0.68799305
891,he98369,608.8239339192709,20.314944464865246,0.6636756
892,he98370,564.8645833333334,20.669753462260548,0.63850516
893,he98371,587.7622884114584,20.597232565874787,0.67144823
894,he98372,627.4743245442709,20.29742215686714,0.7364629
895,he98373,598.131103515625,20.45179035662608,0.6854854
896,he98374,507.6292317708333,21.141910520412473,0.65319115
897,he98375,538.0729573567709,20.914684696051943,0.6496166
898,he98377,480.531494140625,21.31900563869639,0.69026846
899,he98378,658.6669514973959,19.940802040252485,0.7001203
900,he98379,381.0027262369792,22.286597183144043,0.7203433
901,he98397,250.7164510091146,24.299290868142727,0.7070818
902,he98399,340.890869140625,22.870310636669164,0.68761015
903,he98400,466.9107259114583,21.44726925283553,0.6718747
904,he98401,349.63134765625,22.765851472695413,0.7151204
905,he98402,503.3824055989583,21.184094610999665,0.68948126
906,he98403,404.0460611979167,22.240866161350404,0.7323039
907,he98404,448.7235107421875,21.652518620508914,0.7001993
908,he98415,219.5651652018229,24.69578220436926,0.6698417
909,he98416,44.01300048828125,31.86069105077116,0.65508574
910,he98417,116.34459431966145,27.75060227181186,0.54126
911,he98418,191.08138020833334,25.351340970090064,0.39244905
912,he98419,272.01499430338544,23.788612592393108,0.37450185
913,he98420,291.71575927734375,23.661200427359805,0.3826103
914,he98421,333.7899983723958,22.993975885592988,0.36875287
915,he98422,581.5113932291666,20.277303634473995,0.50658005
916,he98436,638.6631673177084,20.017177920483682,0.6529493
917,he98437,492.6768798828125,21.23919457895179,0.6394443
918,he98438,556.0679524739584,20.776272754191258,0.65754944
919,he98439,595.826904296875,20.453213645084276,0.69906
920,he98440,595.81591796875,20.42982347879522,0.6701918
921,he98441,533.7797037760416,21.05054395694633,0.6727853
922,he98442,577.7955322265625,20.512361337534006,0.6530214
923,he98443,551.0388997395834,20.786277048302992,0.6676901
