,image,MSE,PSNR,SSIM
333,he89814,322.0091959635417,23.325628833801666,0.7511578
334,he89815,231.2599894205729,24.50815106447949,0.7565444
335,he89816,141.30880737304688,26.205639854445092,0.7241788
336,he89838,81.81886291503906,29.475354979373098,0.71136093
337,he89839,148.74933878580728,26.679618611247736,0.6714589
338,he89863,34.28529357910156,33.013837630971075,0.7184667
339,he89866,120.42801920572917,27.47478071134752,0.7458647
340,he89867,186.1695353190104,25.400262896085536,0.7500164
341,he89868,212.15376790364584,25.09699781107625,0.7772107
342,he89869,310.75111897786456,23.036708360347575,0.70811176
343,he89919,256.2857259114583,23.850901443303503,0.73787516
344,he89920,75.5525410970052,30.186283270310717,0.69922954
345,he89921,30.495580037434895,35.31704720326149,0.7840483
346,he89923,205.239990234375,24.65290227265477,0.74037987
347,he89974,290.2251790364583,23.65076531623138,0.7626078
348,he89975,260.6746419270833,24.00347187295178,0.744204
349,he89976,386.731689453125,22.188481650021505,0.7581387
350,he90026,282.72776285807294,23.682895221809513,0.7447831
351,he90027,303.7926839192708,23.335615304954377,0.73771924
352,he90028,318.98876953125,23.029520167155376,0.72979635
353,he90029,365.1459554036458,22.469668308742907,0.74614954
354,he90030,222.80879720052084,24.74068695132109,0.730773
355,he90031,327.2038167317708,22.82787623647479,0.682337
356,he90080,167.6980183919271,26.25343677011925,0.7553975
357,he90081,247.15667724609375,24.205970741050457,0.71407866
358,he90082,251.550048828125,24.560289398222046,0.75277156
359,he90083,200.9988810221354,25.78749703024952,0.75138694
360,he90084,218.72151692708334,24.961602837653146,0.7365089
361,he90085,194.96500651041666,24.985879043052947,0.7149829
362,he90134,55.28077189127604,30.793208365434204,0.77019596
363,he90135,358.5231526692708,22.438255000420032,0.7388684
364,he90136,246.54292805989584,24.158656652405746,0.7348196
365,he90137,310.7179768880208,23.027193039862546,0.7604385
366,he925,35.0900624593099,32.66234786612486,0.69248563
367,he928,42.35022481282552,31.839497839890313,0.7402695
368,he933,27.199498494466145,35.026255170428016,0.7634118
369,he934,61.91033935546875,30.585063056796994,0.67845505
370,he94048,200.41646321614584,25.084479058553192,0.5516326
371,he94049,281.7796223958333,23.761254531697134,0.5695333
372,he94072,323.8826904296875,22.836365416000106,0.6195033
373,he94076,311.6544189453125,23.332035598279944,0.5000913
374,he94077,384.8770345052083,22.349431899852586,0.5086865
375,he94078,298.53538004557294,23.44820630362883,0.47694242
376,he94100,294.5181477864583,23.316479679518743,0.5675135
377,he94101,461.5595703125,21.327789650945963,0.56183636
378,he94102,328.3265787760417,23.220435876430297,0.61549956
379,he94103,405.7869466145833,22.10419535070767,0.48019972
380,he94104,317.0260009765625,23.21290615248257,0.5296715
381,he94105,143.6667683919271,26.810466377981395,0.56726646
382,he94106,167.29728190104166,25.77912184125894,0.6645653
383,he94127,424.5208333333333,21.675118466024536,0.5618077
384,he94128,426.5517171223958,21.839422346006614,0.5027671
385,he94129,388.3566487630208,22.394973319324087,0.54130983
386,he94130,310.0818277994792,23.231145898710093,0.5698841
387,he94132,143.6593221028646,26.43012343689753,0.4672154
388,he94133,89.5485127766927,28.412100710892293,0.58793014
389,he94134,153.92578125,25.970123207703445,0.6919443
390,he94155,457.0815836588542,21.609364301412306,0.5851682
